"AnswerId","JobName","Worker","Status","WorkDurationInSeconds","TaskReservedTime","TaskStartedTime","AnswerSubmittedTime","AnswerAcceptedTime","AnswerRejectedTime","ScheduledAutoApprovalTime","ScheduledAutoRejectionTime","Answer.1:fileId","Answer.2:selections","Answer.3:selections","Answer.4:selections","Answer.5:freetext"
"EB1876A18EFE540","Sympathie_2016-11-02T12:28:51.716Z","FAB2394369","AUTOMATICALLY_ACCEPTED","44","2016.12.09 17:08:48 +0000","2016.12.09 17:08:49 +0000","2016.12.09 17:09:34 +0000","2016.12.09 17:09:34 +0000","","2016.12.09 17:09:34 +0000","2016.12.09 17:09:34 +0000","https://api.crowdee.de/v1/files/a93bda31abe554d09ca2f6b1bc67a64b","1","4","0","26"
"3A373AEBA4FCDDC","Sympathie_2016-11-02T12:28:51.716Z","B039418D76","AUTOMATICALLY_ACCEPTED","121","2016.12.09 17:24:01 +0000","2016.12.09 17:24:01 +0000","2016.12.09 17:26:03 +0000","2016.12.09 17:26:03 +0000","","2016.12.09 17:26:03 +0000","2016.12.09 17:26:03 +0000","https://api.crowdee.de/v1/files/8efdd95aa9f8f4820a891a98b6a397f0","1","4","0","43"
"1F71E4EC63A99DE","Sympathie_2016-11-02T12:28:51.716Z","BB71E5D7E3","AUTOMATICALLY_ACCEPTED","95","2016.12.09 17:39:09 +0000","2016.12.09 17:39:09 +0000","2016.12.09 17:40:45 +0000","2016.12.09 17:40:45 +0000","","2016.12.09 17:40:45 +0000","2016.12.09 17:40:45 +0000","https://api.crowdee.de/v1/files/47432021f415f64bdd0b3284b6230401","1","4","1","24"
"03FBA5AE28A6299","Sympathie_2016-11-02T12:28:51.716Z","EE8CDC0320","AUTOMATICALLY_ACCEPTED","111","2016.12.10 14:29:41 +0000","2016.12.10 14:29:42 +0000","2016.12.10 14:31:33 +0000","2016.12.10 14:31:33 +0000","","2016.12.10 14:31:33 +0000","2016.12.10 14:31:33 +0000","https://api.crowdee.de/v1/files/656369adbcf9e1dec5015f4849f1712f","1","4","1","20"
"1E3BC03718C263E","Sympathie_2016-11-02T12:28:51.716Z","195690E2FD","AUTOMATICALLY_ACCEPTED","212","2016.12.10 18:24:19 +0000","2016.12.10 18:24:21 +0000","2016.12.10 18:27:54 +0000","2016.12.10 18:27:54 +0000","","2016.12.10 18:27:54 +0000","2016.12.10 18:27:54 +0000","https://api.crowdee.de/v1/files/15dc6cbd648a6ceaf0e58162cb28800c","1","4","0","18"
"FEAC782EEF919A0","Sympathie_2016-11-02T12:28:51.716Z","31F667F7B5","AUTOMATICALLY_ACCEPTED","94","2016.12.10 21:54:40 +0000","2016.12.10 21:54:40 +0000","2016.12.10 21:56:14 +0000","2016.12.10 21:56:14 +0000","","2016.12.10 21:56:14 +0000","2016.12.10 21:56:14 +0000","https://api.crowdee.de/v1/files/68f4ba59f62c722abc0d4dbe7e31fd7f","1","4","0","34"
"219DE01355DAFEE","Sympathie_2016-11-02T12:28:51.716Z","36EC3C8733","AUTOMATICALLY_ACCEPTED","109","2016.12.11 15:46:57 +0000","2016.12.11 15:46:58 +0000","2016.12.11 15:48:47 +0000","2016.12.11 15:48:47 +0000","","2016.12.11 15:48:47 +0000","2016.12.11 15:48:47 +0000","https://api.crowdee.de/v1/files/c599410e88db5c902277aa6d477aab40","1","4","1","41"
"E6FB8F5AABF65A6","Sympathie_2016-11-02T12:28:51.716Z","89FA7B9F13","AUTOMATICALLY_ACCEPTED","98","2016.12.11 20:15:16 +0000","2016.12.11 20:15:16 +0000","2016.12.11 20:16:54 +0000","2016.12.11 20:16:54 +0000","","2016.12.11 20:16:54 +0000","2016.12.11 20:16:54 +0000","https://api.crowdee.de/v1/files/bbd7feb427e92c6fb58476b1814b0e20","1","4","0","26"
"ABB3FD504208805","Sympathie_2016-11-02T12:28:51.716Z","1F1B657985","AUTOMATICALLY_ACCEPTED","99","2016.12.11 22:17:37 +0000","2016.12.11 22:17:37 +0000","2016.12.11 22:19:16 +0000","2016.12.11 22:19:16 +0000","","2016.12.11 22:19:16 +0000","2016.12.11 22:19:16 +0000","https://api.crowdee.de/v1/files/7eb6134c6c1a23fe8e2449126bcccff7","1","4","0","23"
"94B1AA3FFF9324C","Sympathie_2016-11-02T12:28:51.716Z","2FEEF20745","AUTOMATICALLY_ACCEPTED","103","2016.12.11 23:03:28 +0000","2016.12.11 23:03:28 +0000","2016.12.11 23:05:11 +0000","2016.12.11 23:05:11 +0000","","2016.12.11 23:05:11 +0000","2016.12.11 23:05:11 +0000","https://api.crowdee.de/v1/files/6968c9c969fd698e32df09a94c88ba70","1","4","0","27"
