"IDListener","ageListener","genderListener","filename","fileDurationMs","orderPlayed","IDSpeaker","ageSpeaker","genderSpeaker","stimulusContent","stimulusDistortion","reactionTimeLikabilityMs","durationRatingLikabilityMs","Rating_Likability"
4,29,"m","028_28_m_T_N.wav",3916,28,28,28,"m","Telefontarif","Narrowband",4033,130,80
4,29,"m","010_30_f_T_N.wav",4460,29,10,30,"f","Telefontarif","Narrowband",6163,89,72
4,29,"m","003_33_f_T_N.wav",4271,30,3,33,"f","Telefontarif","Narrowband",5068,1694,62
4,29,"m","014_34_f_T_W.wav",4742,31,14,34,"f","Telefontarif","Wideband",7652,149,68
4,29,"m","003_33_f_T_W.wav",4272,32,3,33,"f","Telefontarif","Wideband",4064,138,57
4,29,"m","014_34_f_T_N.wav",4750,33,14,34,"f","Telefontarif","Narrowband",5190,1220,54
4,29,"m","012_27_f_T_W.wav",4608,34,12,27,"f","Telefontarif","Wideband",5048,93,94
4,29,"m","026_20_f_T_N.wav",5013,35,26,20,"f","Telefontarif","Narrowband",5739,1764,52
4,29,"m","015_22_f_T_W.wav",4749,36,15,22,"f","Telefontarif","Wideband",5248,115,95
4,29,"m","011_21_f_T_N.wav",4365,37,11,21,"f","Telefontarif","Narrowband",4369,651,83
4,29,"m","001_28_f_T_N.wav",4334,38,1,28,"f","Telefontarif","Narrowband",4612,112,85
4,29,"m","001_28_f_T_W.wav",4315,39,1,28,"f","Telefontarif","Wideband",8593,119,87
4,29,"m","027_29_f_T_N.wav",4383,40,27,29,"f","Telefontarif","Narrowband",4162,115,84
4,29,"m","008_28_f_T_W.wav",4825,41,8,28,"f","Telefontarif","Wideband",5011,123,75
4,29,"m","015_22_f_T_N.wav",4767,42,15,22,"f","Telefontarif","Narrowband",4975,103,65
4,29,"m","012_27_f_T_N.wav",4598,43,12,27,"f","Telefontarif","Narrowband",5101,127,67
4,29,"m","029_29_f_T_N.wav",4255,44,29,29,"f","Telefontarif","Narrowband",5963,-1938,71
4,29,"m","013_34_f_T_W.wav",4293,45,13,34,"f","Telefontarif","Wideband",4725,437,80
4,29,"m","009_30_f_T_W.wav",4984,46,9,30,"f","Telefontarif","Wideband",6491,142,56
4,29,"m","029_29_f_T_W.wav",4261,47,29,29,"f","Telefontarif","Wideband",6953,116,70
4,29,"m","027_29_f_T_W.wav",4394,48,27,29,"f","Telefontarif","Wideband",4398,529,84
4,29,"m","009_30_f_T_N.wav",4994,49,9,30,"f","Telefontarif","Narrowband",5942,5666,52
4,29,"m","026_20_f_T_W.wav",4991,50,26,20,"f","Telefontarif","Wideband",8323,103,43
4,29,"m","011_21_f_T_W.wav",4356,51,11,21,"f","Telefontarif","Wideband",5684,1927,66
4,29,"m","013_34_f_T_N.wav",4312,52,13,34,"f","Telefontarif","Narrowband",4642,781,56
4,29,"m","010_30_f_T_W.wav",4456,53,10,30,"f","Telefontarif","Wideband",10667,1031,68
4,29,"m","017_29_f_T_N.wav",4354,54,17,29,"f","Telefontarif","Narrowband",4236,121,86
4,29,"m","017_29_f_T_W.wav",4353,55,17,29,"f","Telefontarif","Wideband",4090,897,86
4,29,"m","002_28_f_T_W.wav",4222,56,2,28,"f","Telefontarif","Wideband",3797,111,71
4,29,"m","008_28_f_T_N.wav",4831,57,8,28,"f","Telefontarif","Narrowband",4558,126,85
4,29,"m","002_28_f_T_N.wav",4221,58,2,28,"f","Telefontarif","Narrowband",5955,95,66
5,26,"m","016_21_m_T_N.wav",4845,1,16,21,"m","Telefontarif","Narrowband",5305,154,3
5,26,"m","025_25_m_T_W.wav",4273,2,25,25,"m","Telefontarif","Wideband",4663,106,52
5,26,"m","007_24_m_T_N.wav",3883,3,7,24,"m","Telefontarif","Narrowband",4282,103,52
5,26,"m","016_21_m_T_W.wav",4831,4,16,21,"m","Telefontarif","Wideband",4111,75,4
5,26,"m","004_29_m_T_W.wav",4345,5,4,29,"m","Telefontarif","Wideband",5162,118,62
5,26,"m","030_28_m_T_N.wav",4333,6,30,28,"m","Telefontarif","Narrowband",4649,151,19
5,26,"m","021_30_m_T_N.wav",4313,7,21,30,"m","Telefontarif","Narrowband",5887,183,63
5,26,"m","006_22_m_T_N.wav",4374,8,6,22,"m","Telefontarif","Narrowband",5445,124,65
5,26,"m","007_24_m_T_W.wav",3879,9,7,24,"m","Telefontarif","Wideband",3659,135,74
5,26,"m","018_25_m_T_W.wav",4547,10,18,25,"m","Telefontarif","Wideband",7345,79,73
5,26,"m","004_29_m_T_N.wav",4365,11,4,29,"m","Telefontarif","Narrowband",4937,88,46
5,26,"m","024_21_m_T_W.wav",4658,12,24,21,"m","Telefontarif","Wideband",4500,102,16
5,26,"m","023_30_m_T_N.wav",4901,13,23,30,"m","Telefontarif","Narrowband",4530,1412,74
5,26,"m","020_31_m_T_N.wav",4075,14,20,31,"m","Telefontarif","Narrowband",6805,-2994,14
5,26,"m","024_21_m_T_N.wav",4651,15,24,21,"m","Telefontarif","Narrowband",4055,163,22
5,26,"m","019_30_m_T_W.wav",4364,16,19,30,"m","Telefontarif","Wideband",3922,121,7
5,26,"m","022_24_m_T_W.wav",3967,17,22,24,"m","Telefontarif","Wideband",3757,103,7
5,26,"m","030_28_m_T_W.wav",4329,18,30,28,"m","Telefontarif","Wideband",4069,122,38
5,26,"m","019_30_m_T_N.wav",4335,19,19,30,"m","Telefontarif","Narrowband",4076,91,30
5,26,"m","025_25_m_T_N.wav",4272,20,25,25,"m","Telefontarif","Narrowband",3758,739,58
5,26,"m","006_22_m_T_W.wav",4369,21,6,22,"m","Telefontarif","Wideband",3064,101,25
5,26,"m","022_24_m_T_N.wav",3978,22,22,24,"m","Telefontarif","Narrowband",3322,52,53
5,26,"m","028_28_m_T_W.wav",3926,23,28,28,"m","Telefontarif","Wideband",2794,100,16
5,26,"m","018_25_m_T_N.wav",4529,24,18,25,"m","Telefontarif","Narrowband",6532,103,27
5,26,"m","023_30_m_T_W.wav",4926,25,23,30,"m","Telefontarif","Wideband",4327,131,57
5,26,"m","021_30_m_T_W.wav",4303,26,21,30,"m","Telefontarif","Wideband",9194,81,49
5,26,"m","020_31_m_T_W.wav",4079,27,20,31,"m","Telefontarif","Wideband",5618,80,8
5,26,"m","028_28_m_T_N.wav",3916,28,28,28,"m","Telefontarif","Narrowband",2346,142,16
